Results,EUR/USD Close,USD/JPY Close,USD/CAD Close,EUR/JPY Close
2017-03-09,1.05897,114.934,1.35067,121.715
2017-03-10,1.06934,114.743,1.34576,122.69
2017-03-13,1.0654,114.811,1.34446,122.322
2017-03-14,1.0611,114.705,1.3483,121.716
2017-03-15,1.06947,113.47,1.33267,121.348
2017-03-16,1.07593,113.342,1.33483,121.953
2017-03-17,1.07415,112.679,1.33403,121.043
2017-03-20,1.07394,112.545,1.33496,120.869
2017-03-21,1.08084,111.825,1.33407,120.865
2017-03-22,1.0795,110.953,1.33391,119.811
2017-03-23,1.07831,110.921,1.33507,119.609
2017-03-24,1.08142,110.665,1.33788,119.68
2017-03-27,1.08655,110.564,1.3369,120.137
2017-03-28,1.08049,111.134,1.33812,120.078
2017-03-29,1.07601,111.027,1.33332,119.456
2017-03-30,1.06824,111.734,1.33199,119.36
2017-03-31,1.06729,111.387,1.32965,118.884
2017-04-03,1.06648,111.004,1.3387,118.382
2017-04-04,1.06684,110.679,1.34112,118.079
2017-04-05,1.06733,110.715,1.34189,118.168
2017-04-06,1.06456,110.789,1.34148,117.939
2017-04-07,1.0591,111.204,1.3413,117.76
2017-04-10,1.0591,110.975,1.33326,117.54
2017-04-11,1.06063,109.658,1.3337,116.31
2017-04-12,1.06415,109.315,1.32809,116.32
2017-04-13,1.06147,109.161,1.33246,115.865
2017-04-14,1.0623,108.598,1.3316,115.381
2017-04-17,1.06395,108.901,1.33133,115.894
2017-04-18,1.07351,108.365,1.33794,116.331
2017-04-19,1.07159,108.837,1.34859,116.635
2017-04-20,1.07232,109.244,1.3472,117.151
2017-04-21,1.06968,109.106,1.35075,116.709
2017-04-24,1.08574,109.792,1.35101,119.21
2017-04-25,1.0929,111.109,1.35763,121.423
2017-04-26,1.08969,111.384,1.36139,121.36
2017-04-27,1.0883,111.193,1.36118,121.01
2017-04-28,1.08988,111.423,1.36557,121.439
2017-05-01,1.09013,111.79,1.36731,121.897
2017-05-02,1.09238,112.013,1.3722,122.38
2017-05-03,1.08895,112.69,1.37181,122.71
2017-05-04,1.09836,112.431,1.37618,123.496
2017-05-05,1.09938,112.554,1.36559,123.74
2017-05-08,1.09318,113.069,1.36963,123.606
2017-05-09,1.08703,114.175,1.37252,124.105
2017-05-10,1.08662,114.277,1.36677,124.15
2017-05-11,1.0862,113.834,1.36892,123.643
2017-05-12,1.09234,113.349,1.3711,123.809
2017-05-15,1.09791,113.693,1.36452,124.828
2017-05-16,1.10904,113.005,1.35801,125.33
2017-05-17,1.11459,111.111,1.36195,123.842
2017-05-18,1.10997,111.481,1.36061,123.72
2017-05-19,1.12033,111.215,1.35154,124.597
2017-05-22,1.12334,111.205,1.35079,124.923
2017-05-23,1.1188,111.668,1.35026,124.943
2017-05-24,1.12107,111.626,1.34196,125.144
2017-05-25,1.12131,111.771,1.34724,125.33
2017-05-26,1.1175,111.242,1.34495,124.306
2017-05-29,1.11799,111.275,1.34315,124.406
2017-05-30,1.11921,110.748,1.34593,123.953
2017-05-31,1.12407,110.655,1.35084,124.381
2017-06-01,1.12142,111.31,1.35127,124.83
2017-06-02,1.12751,110.456,1.34959,124.541
2017-06-05,1.12544,110.496,1.34707,124.356
2017-06-06,1.12745,109.482,1.34511,123.441
2017-06-07,1.12555,109.794,1.35192,123.577
2017-06-08,1.12117,110.018,1.35053,123.352
2017-06-09,1.11945,110.242,1.34625,123.41
2017-06-12,1.1206,109.828,1.33296,123.074
2017-06-13,1.1207,110.002,1.32359,123.283
2017-06-14,1.11961,109.806,1.32678,122.93
2017-06-15,1.11507,110.867,1.32725,123.625
2017-06-16,1.11964,110.813,1.32144,124.072
2017-06-19,1.11471,111.578,1.32234,124.382
2017-06-20,1.11272,111.456,1.3265,124.025
2017-06-21,1.1165,111.345,1.33144,124.317
2017-06-22,1.11528,111.301,1.32322,124.142
2017-06-23,1.11983,111.222,1.3261,124.55
2017-06-26,1.11793,111.899,1.32527,125.098
2017-06-27,1.13478,112.136,1.31507,127.256
2017-06-28,1.13785,112.241,1.30308,127.71
2017-06-29,1.1436,112.062,1.30027,128.167
2017-06-30,1.1418,112.456,1.29651,128.419
2017-07-03,1.13621,113.405,1.30019,128.853
2017-07-04,1.13492,113.167,1.2928,128.417
2017-07-05,1.1339,113.232,1.29852,128.402
2017-07-06,1.14197,113.231,1.29645,129.3
2017-07-07,1.14062,113.946,1.28764,129.973
2017-07-10,1.14012,114.014,1.28841,129.992
2017-07-11,1.14688,113.881,1.29183,130.608
2017-07-12,1.14201,113.149,1.2734,129.217
2017-07-13,1.1404,113.244,1.27292,129.163
2017-07-14,1.1466,112.578,1.26473,129.08
2017-07-17,1.14774,112.623,1.26895,129.269
2017-07-18,1.15582,111.988,1.26196,129.439
2017-07-19,1.15164,111.826,1.25974,128.785
2017-07-20,1.16271,111.972,1.2582,130.193
2017-07-21,1.16748,111.028,1.25394,129.62
2017-07-24,1.16437,111.106,1.24988,129.369
2017-07-25,1.1652,111.638,1.25045,130.103
2017-07-26,1.1727,111.21,1.2453,130.41
2017-07-27,1.16781,111.139,1.25594,129.789
2017-07-28,1.17561,110.594,1.24393,130.021
2017-07-31,1.1829,110.22,1.2452,130.4
2017-08-01,1.18,110.31,1.2528,130.19
2017-08-02,1.1859,110.58,1.2554,131.15
2017-08-03,1.1865,110.06,1.258,130.6
2017-08-04,1.1771,110.63,1.2646,130.25
2017-08-07,1.179,110.74,1.2679,130.57
2017-08-08,1.1754,110.46,1.2665,129.84
2017-08-09,1.1757,109.84,1.2695,129.16
2017-08-10,1.1772,109.25,1.2721,128.63
2017-08-11,1.1825,108.99,1.2677,128.89
2017-08-14,1.1783,109.65,1.2718,129.21
2017-08-15,1.1736,110.55,1.2747,129.75
2017-08-16,1.1764,110.21,1.2654,129.65
2017-08-17,1.1731,109.95,1.2644,129
2017-08-18,1.1764,109.19,1.2572,128.46
2017-08-21,1.1813,108.81,1.2565,128.53
2017-08-22,1.1752,109.51,1.256,128.69
2017-08-23,1.1813,109.03,1.2546,128.81
2017-08-24,1.1801,109.49,1.2527,129.23
2017-08-25,1.1922,109.34,1.2476,130.36
2017-08-28,1.1982,109.08,1.2496,130.71
2017-08-29,1.1975,109.87,1.2527,131.55
2017-08-30,1.189,110.35,1.2618,131.22
2017-08-31,1.1901,109.89,1.2498,130.79
2017-09-01,1.1865,110.24,1.2388,130.81
2017-09-04,1.1907,109.59,1.2414,130.5
2017-09-05,1.1916,108.72,1.238,129.56
2017-09-06,1.1911,109.35,1.2229,130.25
2017-09-07,1.2003,108.64,1.214,130.4
2017-09-08,1.2036,107.76,1.2142,129.71
2017-09-11,1.1963,109.31,1.2113,130.8
2017-09-12,1.1964,110.11,1.2172,131.75
2017-09-13,1.188,110.6,1.2196,131.4
2017-09-14,1.1907,110.53,1.2189,131.62
2017-09-15,1.1939,110.86,1.2178,132.38
2017-09-18,1.1952,111.54,1.223,133.31
2017-09-19,1.1999,111.45,1.227,133.74
2017-09-20,1.1876,112.42,1.2344,133.52
2017-09-21,1.1932,112.51,1.2334,134.26
2017-09-22,1.1965,111.95,1.2311,133.95
2017-09-25,1.1844,111.61,1.2356,132.22
2017-09-26,1.1798,112.24,1.2371,132.44
2017-09-27,1.1752,112.76,1.246,132.52
2017-09-28,1.1783,112.38,1.242,132.43
2017-09-29,1.1817,112.53,1.2477,132.99
2017-10-02,1.1739,112.67,1.2505,132.28
2017-10-03,1.1747,112.92,1.2492,132.65
2017-10-04,1.1762,112.75,1.2483,132.63
2017-10-05,1.1704,112.84,1.2569,132.1
2017-10-06,1.173,112.69,1.2531,132.22
2017-10-09,1.1752,112.65,1.2538,132.4
2017-10-10,1.1815,112.4,1.2509,132.81
2017-10-11,1.1863,112.37,1.2466,133.31
2017-10-12,1.1836,112.21,1.2461,132.81
2017-10-13,1.182,111.89,1.2481,132.25
2017-10-16,1.1786,112.27,1.2523,132.32
2017-10-17,1.1769,112.2,1.252,132.06
2017-10-18,1.1799,112.91,1.247,133.23
2017-10-19,1.1827,112.67,1.2485,133.27
2017-10-20,1.1777,113.51,1.2628,133.69
2017-10-23,1.1739,113.73,1.2639,133.52
2017-10-24,1.177,113.8,1.2679,133.95
2017-10-25,1.1809,113.68,1.2807,134.26
2017-10-26,1.1651,113.97,1.2849,132.8
2017-10-27,1.1602,113.77,1.2885,132
2017-10-30,1.1641,113.12,1.2832,131.69
2017-10-31,1.1652,113.68,1.2896,132.47
2017-11-01,1.1624,114.17,1.2874,132.75
2017-11-02,1.1659,114.06,1.2809,133
2017-11-03,1.1602,114.24,1.2764,132.55
2017-11-06,1.1606,113.75,1.2719,132.01
2017-11-07,1.1586,113.84,1.2792,131.91
2017-11-08,1.1594,113.59,1.2725,131.73
2017-11-09,1.1645,113.24,1.2668,131.87
2017-11-10,1.1666,113.54,1.2675,132.46
2017-11-13,1.1667,113.63,1.2727,132.59
2017-11-14,1.1795,113.38,1.2729,133.74
2017-11-15,1.1791,112.89,1.2763,133.12
2017-11-16,1.1775,112.82,1.2728,132.86
2017-11-17,1.1801,112.03,1.2753,132.22
2017-11-20,1.1735,112.67,1.2807,132.22
2017-11-21,1.174,112.44,1.2776,132.01
2017-11-22,1.1817,111.22,1.27,131.48
2017-11-23,1.1847,111.19,1.2717,131.73
2017-11-24,1.1928,111.58,1.2708,133.1
2017-11-27,1.1898,111.01,1.276,132.09
2017-11-28,1.1836,111.54,1.2813,132.03
2017-11-29,1.1858,111.85,1.2849,132.65
2017-11-30,1.1903,112.46,1.2901,133.87
2017-12-01,1.1892,112.04,1.2697,133.25
2017-12-04,1.1851,112.56,1.27,133.41
2017-12-05,1.1814,112.58,1.2693,133.02
2017-12-06,1.1791,112.25,1.2793,132.37
2017-12-07,1.1774,113.12,1.2857,133.2
2017-12-08,1.1765,113.52,1.2867,133.56
2017-12-11,1.1788,113.5,1.2849,133.8
2017-12-12,1.1738,113.54,1.287,133.29
2017-12-13,1.1815,112.58,1.2805,133.02
2017-12-14,1.1791,112.17,1.2746,132.25
2017-12-15,1.176,112.7,1.286,132.55
2017-12-18,1.1779,112.59,1.2873,132.64
2017-12-19,1.1842,112.99,1.2878,133.81
2017-12-20,1.1879,113.38,1.2832,134.69
2017-12-21,1.1872,113.31,1.2728,134.53
2017-12-22,1.1852,113.27,1.2724,134.24
2017-12-25,1.1852,113.27,1.2724,134.24
2017-12-26,1.1862,113.13,1.2692,134.21
2017-12-27,1.1895,113.27,1.2643,134.75
2017-12-28,1.1946,112.87,1.2571,134.86
2017-12-29,1.2013,112.62,1.2533,135.31
2018-01-01,1.2013,112.62,1.2533,135.31
2018-01-02,1.2053,112.27,1.2508,135.33
2018-01-03,1.2021,112.43,1.2528,135.16
2018-01-04,1.2067,112.75,1.2492,136.08
2018-01-05,1.2039,113.12,1.2409,136.19
2018-01-08,1.1961,113.1,1.2424,135.29
2018-01-09,1.1931,112.65,1.2463,134.42
2018-01-10,1.196,111.3,1.2534,133.13
2018-01-11,1.204,111.06,1.2519,133.72
2018-01-12,1.2198,111.03,1.2457,135.5
2018-01-15,1.2269,110.52,1.2416,135.62
2018-01-16,1.2271,110.26,1.242,135.3
2018-01-17,1.2224,111.12,1.2411,135.83
2018-01-18,1.2239,111.01,1.242,135.88
2018-01-19,1.223,110.59,1.2481,135.28
2018-01-22,1.2257,110.98,1.2455,136.04
2018-01-23,1.2289,110.32,1.2426,135.58
2018-01-24,1.2399,109.08,1.2325,135.26
2018-01-25,1.2409,109.3,1.2367,135.64
2018-01-26,1.2419,108.69,1.2321,135
2018-01-29,1.2385,108.97,1.2327,134.98
2018-01-30,1.2396,108.78,1.2324,134.88
2018-01-31,1.2416,109.15,1.2299,135.54
2018-02-01,1.2514,109.34,1.2267,136.84
2018-02-02,1.2452,110.28,1.2386,137.33
2018-02-05,1.2389,109.12,1.2523,135.19
2018-02-06,1.2373,109.52,1.2496,135.51
2018-02-07,1.2269,109.56,1.2561,134.44
2018-02-08,1.2242,108.73,1.261,133.13
2018-02-09,1.2235,108.81,1.2586,133.16
2018-02-12,1.229,108.68,1.2596,133.59
2018-02-13,1.2352,107.71,1.2591,133.05
2018-02-14,1.2446,107.16,1.2509,133.37
2018-02-15,1.2506,106.09,1.2483,132.69
2018-02-16,1.2406,106.35,1.2556,131.96
2018-02-19,1.2405,106.57,1.2561,132.19
2018-02-20,1.2335,107.23,1.2643,132.29
2018-02-21,1.2293,107.64,1.2685,132.34
2018-02-22,1.2326,106.69,1.2712,131.52
2018-02-23,1.229,106.69,1.2658,131.13
2018-02-26,1.2308,106.97,1.268,131.67
2018-02-27,1.2234,107.37,1.2753,131.37
2018-02-28,1.2199,106.65,1.2833,130.11
2018-03-01,1.2255,106.22,1.2817,130.19
2018-03-02,1.2324,105.64,1.2901,130.19
2018-03-05,1.2328,106.2,1.299,130.93
2018-03-06,1.24,106.2,1.2897,131.71
2018-03-07,1.2403,106.04,1.2959,131.54
2018-03-08,1.2301,106.21,1.2898,130.67
2018-03-09,1.2306,106.82,1.283,131.46
2018-03-12,1.2337,106.34,1.2824,131.2
2018-03-13,1.2395,106.59,1.294,132.14
2018-03-14,1.2371,106.25,1.2944,131.46
2018-03-15,1.2301,106.22,1.3056,130.68
2018-03-16,1.2287,106.04,1.309,130.31
2018-03-19,1.2339,106.12,1.3061,130.96
2018-03-20,1.2254,106.47,1.3079,130.48
2018-03-21,1.2334,106.07,1.2912,130.79
2018-03-22,1.2306,105.59,1.2915,129.94
2018-03-23,1.2358,104.86,1.287,129.59
2018-03-26,1.2453,105.27,1.2866,131.1
2018-03-27,1.2402,105.49,1.2879,130.84
2018-03-28,1.2308,106.83,1.2917,131.44
2018-03-29,1.2304,106.48,1.2871,130.99
2018-03-30,1.2323,106.21,1.2893,130.88
2018-04-02,1.23,105.86,1.2936,130.21
2018-04-03,1.227,106.58,1.2797,130.79
2018-04-04,1.2281,106.74,1.2789,131.09
2018-04-05,1.2232,107.44,1.2781,131.43
2018-04-06,1.2288,106.8,1.2781,131.24
2018-04-09,1.2318,106.75,1.2708,131.48
2018-04-10,1.2359,107.17,1.2596,132.45
2018-04-11,1.2362,106.91,1.2579,132.18
2018-04-12,1.233,107.19,1.2586,132.16
2018-04-13,1.2338,107.37,1.2614,132.45
2018-04-16,1.2375,107.11,1.2571,132.56
2018-04-17,1.2364,107.01,1.2546,132.32
2018-04-18,1.2372,107.3,1.2629,132.77
2018-04-19,1.2345,107.39,1.2664,132.58
2018-04-20,1.2281,107.57,1.2748,132.12
2018-04-23,1.2205,108.42,1.2829,132.6
2018-04-24,1.2236,108.42,1.2829,132.98
2018-04-25,1.2175,108.42,1.2829,133.13
2018-04-26,1.2105,108.42,1.2829,132.4
2018-04-27,1.2123,108.42,1.2829,132.17
2018-04-30,1.2082,108.42,1.2829,132.07
2018-05-01,1.1995,108.42,1.2829,131.74
2018-05-02,1.1946,108.42,1.2829,131.3
2018-05-03,1.1994,108.42,1.2829,130.98
2018-05-04,1.1962,108.42,1.2829,130.54
2018-05-07,1.1924,108.42,1.2829,130.07
2018-05-08,1.1859,108.42,1.2829,129.27
2018-05-09,1.186,109.69,1.2843,130.1
2018-05-10,1.1923,109.36,1.276,130.4
2018-05-11,1.1945,109.28,1.2785,130.53
2018-05-14,1.1943,109.6,1.27973,0.87986
2018-05-15,1.1847,110.27,1.28625,0.87615
2018-05-16,1.1798,110.26,1.2755,0.87229
2018-05-17,1.1796,110.79,1.28247,0.87334
2018-05-18,1.1775,110.68,1.28838,0.87382
2018-05-21,1.1772,111.11,1.28753,0.87798
2018-05-22,1.1781,110.96,1.27788,0.87648
2018-05-23,1.1707,110.05,1.28514,0.87615
2018-05-24,1.1725,109.32,1.28485,0.87572
2018-05-25,1.1668,109.38,1.29037,0.87615
2018-05-28,1.1629,109.43,1.29733,0.87281
2018-05-29,1.1533,108.41,1.29905,0.86989
2018-05-30,1.1654,108.92,1.2987,0.8767
2018-05-31,1.1685,108.67,1.30247,0.88053
